X,Y,OBJECTID_1,Name,County,Address_Li,City,ZIP,Source,GlobalID,last_edited_date,Subtype,Type
-84.3142563739997,33.7448301480005,24,CHARLES DREW CHARTER SCHOOL,Dekalb,301 E LAKE BLVD SE,ATLANTA,30317,Captain Planet Foundation_ Project Learning Garden,{EA2A68C1-7340-4757-9BB4-E9EB8853DEFA},2015/01/30 21:10:09+00,School,Garden
-84.6508306599997,33.8441312390005,25,CLARKDALE ELEMENTARY SCHOOL,Cobb,4455 WESLEY DR,AUSTELL,30106,Captain Planet Foundation_ Project Learning Garden,{7578585C-5950-4FFB-8311-6ED0D8D04701},2015/01/30 21:10:09+00,School,Garden
-84.3939717279997,33.6822842700004,26,Cleveland Avenue Elementary,Fulton,2672 OLD HAPEVILLE RD SW,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,{8979648B-59C7-4C1E-9719-4EC574919D68},2017/02/13 15:25:50+00,School,Garden
-84.4419044389996,33.7311731070005,27,E.L. Connally Elementary School,Fulton,1654 S ALVARADO TER SW,ATLANTA,30311,Captain Planet Foundation_ Project Learning Garden,{D5F92D49-B343-416C-A6F4-F126A313A758},2017/02/13 16:17:51+00,School,Garden
-84.6364922589996,33.8409729730005,28,COOPER MIDDLE SCHOOL,Cobb,4605 EWING RD,AUSTELL,30106,Captain Planet Foundation_ Project Learning Garden,{2EB08A45-9BCF-4290-A424-D63EFDF004BD},2015/01/30 21:10:09+00,School,Garden
-84.4791054574751,33.7890500702934,29,CORETTA SCOTT KING YOUNG WOMEN'S ACADEMY MIDDLE SC,Fulton,1190 Northwest Dr.,Atlanta,30318,Captain Planet Foundation_ Project Learning Garden,{BC408B79-49A3-4BA8-A911-2799A87C1582},2015/07/14 17:35:40+00,School,Garden
-84.3948874079996,33.6677780320005,30,Crawford W. Long Middle School,Fulton,3200 Latona Drive,Atlanta,30354,Captain Planet Foundation_ Project Learning Garden,{2B916683-2E5F-4825-B6F0-987741427ED1},2015/01/30 21:10:09+00,School,Garden
-84.3830907679996,33.7279598380005,31,D. H. STANTON ELEMENTARY SCHOOL,Fulton,970 MARTIN ST SE,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,{F082F442-2B01-446A-BA3E-E42CA5C5F739},2015/01/30 21:10:09+00,School,Garden
-84.5142979459995,33.6711878350004,32,DEERWOOD ACADEMY SCHOOL,Fulton,3070 FAIRBURN RD SW,ATLANTA,30331,Captain Planet Foundation_ Project Learning Garden,{2B326291-4168-4B7A-B8D9-1FC9A54B7F46},2015/01/30 21:10:09+00,School,Garden
-84.3725065689996,33.6995999010004,33,DOBBS ELEMENTARY SCHOOL,Fulton,2025 JONESBORO RD SE,ATLANTA,30315,Captain Planet Foundation_ Project Learning Garden,{077AFF6A-D47D-40E9-AE7B-E7D7C5D18565},2015/01/30 21:10:09+00,School,Garden
